"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
="00737","117,632","512","2,997,085","25.47","25.49","25.40","25.49","-","0.02","25.49","19","25.50","80","0.00",
="00738U","269,175","111","5,275,115","19.43","19.75","19.43","19.75","+","0.30","19.72","10","19.75","51","0.00",
="00739","63,100","847","1,335,204","21.04","21.26","21.04","21.15","-","0.09","21.08","33","21.17","1","0.00",
="00752","1,864,099","545","26,078,724","13.90","14.23","13.66","14.09","+","0.33","14.07","82","14.09","41","0.00",
="00753L","10,942,352","1,596","75,342,873","6.61","7.11","6.58","6.98","+","0.29","6.98","63","6.99","411","0.00",
="00757","197,296","365","6,855,106","34.61","34.97","34.50","34.97","-","0.07","34.85","31","34.97","57","0.00",
="00762","66,875","82","2,037,078","30.46","30.47","30.45","30.47","-","0.24","30.47","35","30.55","52","0.00",
="00763U","132,000","23","2,915,440","21.94","22.22","21.93","22.17","+","0.12","22.15","2","22.20","52","0.00",
="00770","117,106","809","3,415,156","29.20","29.20","29.12","29.18","-","0.15","29.18","7","29.23","50","0.00",
="00771","4,608","772","77,235","16.90","16.90","16.89","16.89"," ","0.00","16.91","1","16.93","27","0.00",
="00774B","3,050","4","124,935","41.08","41.08","40.90","40.90","-","0.20","40.74","50","41.16","2","0.00",
="00774C","0","0","0","--","--","--","--"," ","0.00","9.13","1","9.23","2","0.00",
="00775B","51,981","978","1,685,507","32.59","32.59","32.45","32.45","+","0.11","32.26","5","32.43","2","0.00",
="00783","137,000","15","2,705,430","19.70","19.87","19.69","19.77","-","0.06","19.72","10","19.78","37","0.00",
="00830","2,238,720","945","50,484,214","22.49","22.59","22.46","22.56","-","0.17","22.56","60","22.57","1","0.00",
="00850","288,444","470","7,843,545","27.03","27.33","27.00","27.18","+","0.15","27.17","61","27.18","1","0.00",
="00851","43,940","938","1,029,028","23.44","23.44","23.43","23.44","-","0.08","23.46","10","23.50","5","0.00",
="00852L","1,682,991","205","32,784,203","19.38","19.52","19.38","19.52","+","0.06","19.52","171","19.53","14","0.00",
="00861","179,595","110","4,658,497","25.91","25.98","25.87","25.97","+","0.06","25.97","39","25.98","3","0.00",
="00865B","160,464","484","6,736,504","41.98","42.00","41.92","42.00","+","0.10","41.92","47","42.00","42","0.00",
="00875","257,421","110","7,052,034","27.36","27.44","27.36","27.43","+","0.07","27.43","6","27.44","4","0.00",
="00876","132,255","131","3,123,023","23.60","23.63","23.56","23.61","-","0.04","23.61","30","23.63","1","0.00",
="00878","26,952,494","11,708","425,162,541","15.74","15.82","15.69","15.79","+","0.09","15.79","421","15.80","65","0.00",
="00881","6,522,279","1,854","81,996,988","12.50","12.62","12.48","12.57","+","0.05","12.56","83","12.57","184","0.00",
="00882","13,604,946","5,030","134,705,524","9.91","9.97","9.84","9.93","-","0.06","9.92","47","9.93","45","0.00",
="00885","9,101,131","2,649","105,418,424","11.45","11.68","11.43","11.57","+","0.22","11.57","156","11.58","146","0.00",
="00891","6,302,013","1,698","62,218,839","9.80","9.93","9.76","9.87","+","0.08","9.87","180","9.88","75","0.00",
="00892","4,482,137","838","40,407,972","8.92","9.05","8.92","9.01","+","0.09","9.01","97","9.02","18","0.00",
="00893","6,365,267","1,620","73,786,791","11.51","11.64","11.51","11.61","-","0.01","11.60","467","11.61","119","0.00",
="00894","673,546","266","6,856,577","10.05","10.22","10.05","10.21","+","0.17","10.21","5","10.22","13","0.00",
="00895","2,218,279","455","28,727,731","12.89","12.97","12.89","12.96","+","0.03","12.96","52","12.97","233","0.00",
="00896","1,872,880","521","22,663,394","12.05","12.16","12.00","12.14","+","0.14","12.14","4","12.15","114","0.00",
="00897","1,448,241","149","13,531,213","9.33","9.35","9.31","9.35","-","0.05","9.34","241","9.35","105","0.00",
="00898","727,612","187","5,629,760","7.72","7.76","7.71","7.74","-","0.02","7.74","12","7.75","54","0.00",
="00899","460,938","147","10,272,077","22.10","22.41","22.09","22.41","+","0.39","22.29","2","22.41","1","0.00",
="00900","5,604,750","1,773","55,385,290","9.83","9.91","9.83","9.89","+","0.07","9.89","249","9.90","379","0.00",
="00901","448,839","221","4,937,935","10.90","11.04","10.90","11.02","+","0.11","11.02","52","11.03","10","0.00",
="00902","3,831,411","831","51,835,673","13.29","13.63","13.29","13.58","+","0.29","13.58","138","13.59","30","0.00",
="00903","3,499,956","372","30,704,411","8.75","8.81","8.69","8.80","-","0.02","8.80","198","8.81","68","0.00",
="00904","1,583,187","422","14,616,806","9.17","9.30","9.17","9.25","+","0.07","9.25","1","9.26","10","0.00",
="00905","336,588","213","2,585,265","7.64","7.72","7.63","7.67","+","0.03","7.67","316","7.68","18","0.00",
="00906","7,000","7","62,750","8.98","8.98","8.93","8.93"," ","0.00","8.93","2","8.95","1","0.00",
="00907","490,118","224","6,580,083","13.32","13.48","13.32","13.44","+","0.11","13.43","14","13.44","17","0.00",
="00908","891,930","114","11,921,047","13.35","13.39","13.32","13.37"," ","0.00","13.37","10","13.38","86","0.00",
="00909","547,819","154","9,267,876","16.88","16.96","16.88","16.95","-","0.13","16.94","62","16.95","22","0.00",
="00910","42,310","23","645,642","15.35","15.35","15.23","15.25","+","0.25","15.25","6","15.26","8","0.00",
="00911","108,000","6","1,544,510","14.30","14.32","14.30","14.32","-","0.12","14.32","6","14.37","10","0.00",
="00912","350,419","190","4,269,984","12.13","12.25","12.12","12.18","+","0.06","12.18","43","12.19","14","0.00",
="00913","26,000","10","327,600","12.50","12.70","12.50","12.59","+","0.04","12.61","100","12.68","5","0.00",
="00915","651,181","323","9,088,454","13.88","13.99","13.88","13.98","+","0.03","13.97","7","13.98","14","0.00",
="00916","1,443,938","368","22,137,957","15.31","15.35","15.29","15.35","-","0.02","15.35","98","15.36","53","0.00",
="00917","1,299,067","141","19,301,292","14.87","14.88","14.84","14.86","-","0.04","14.86","293","14.87","125","0.00",
="00919","2,880,645","512","42,943,829","14.88","14.97","14.86","14.90","+","0.02","14.90","49","14.91","65","0.00",
="00920","1,507,195","172","24,564,502","16.26","16.31","16.26","16.30","+","0.16","16.30","180","16.31","180","0.00",
="01001T","2,001","3","33,618","16.80","16.80","16.80","16.80","X","0.00","16.61","7","16.86","1","0.00",
="01002T","4,070","6","74,456","17.73","18.54","17.73","18.48","-","0.11","17.97","20","18.48","29","0.00",
="01003T","31,000","13","659,600","21.30","21.30","21.20","21.30","X","0.00","21.20","1","21.29","3","0.00",
="01004T","0","0","0","--","--","--","--"," ","0.00","--","0","15.86","9","0.00",
="01007T","22,000","19","410,770","18.67","18.68","18.67","18.68","+","0.01","17.87","10","18.73","1","0.00",
="01009T","55,000","4","467,000","8.50","8.50","8.48","8.48","-","0.01","8.48","3","8.49","50","0.00",
="01010T","392,987","45","3,859,117","9.98","9.98","9.70","9.95","-","0.05","9.95","2","9.96","16","0.00",
="020000","0","0","0","--","--","--","--"," ","0.00","5.89","10","5.90","10","0.00",
="020002","2,000","2","21,100","10.48","10.62","10.48","10.62","+","0.21","10.68","499","10.70","355","0.00",
="020007","0","0","0","--","--","--","--"," ","0.00","26.88","244","26.92","247","0.00",
="020011","2,000","1","13,080","6.54","6.54","6.54","6.54","X","0.00","6.55","354","6.56","310","0.00",
="020012","0","0","0","--","--","--","--"," ","0.00","5.94","100","5.95","100","0.00",
="020015","0","0","0","--","--","--","--"," ","0.00","14.27","431","14.29","348","0.00",
="020016","1,000","1","16,060","16.06","16.06","16.06","16.06","-","0.08","16.04","401","16.06","254","0.00",
="020018","0","0","0","--","--","--","--"," ","0.00","12.72","431","12.73","302","0.00",
="020019","2,000","1","20,840","10.42","10.42","10.42","10.42","+","0.07","10.39","442","10.41","262","0.00",
="02001L","197,000","6","1,387,460","6.96","7.08","6.96","7.08","+","0.07","7.09","10","7.10","10","0.00",
="02001R","0","0","0","--","--","--","--"," ","0.00","3.41","10","3.42","10","0.00",
="020020","13,000","9","74,260","5.69","5.73","5.69","5.71","+","0.01","5.71","500","5.72","499","0.00",
="020022","395,000","41","1,938,880","4.88","4.93","4.88","4.93","+","0.10","4.93","499","4.94","499","0.00",
="020028","73,000","12","346,460","4.73","4.75","4.73","4.75","+","0.08","4.75","499","4.76","501","0.00",
="020029","143,000","26","581,350","4.09","4.09","4.05","4.07","+","0.02","4.06","502","4.07","504","0.00",
="020030","74,000","18","254,500","3.42","3.45","3.42","3.45","+","0.03","3.44","369","3.45","361","0.00",
="020031","184,000","23","523,430","2.81","2.87","2.81","2.86","+","0.05","2.85","358","2.86","326","0.00",
="020032","13,000","6","55,650","4.25","4.29","4.25","4.29","+","0.07","4.29","499","4.30","499","0.00",
="020034","216,000","22","743,430","3.42","3.47","3.42","3.46","+","0.06","3.45","499","3.46","504","0.00",
"1101","12,710,527","5,496","387,993,151","30.25","30.75","30.10","30.65","+","0.40","30.65","192","30.70","100","17.92",
"1101B","3,000","2","145,050","48.35","48.35","48.35","48.35"," ","0.00","48.10","1","48.35","2","0.00",
"1102","2,759,455","1,488","102,914,734","37.30","37.60","36.70","37.55","+","0.25","37.50","15","37.55","37","9.27",
"1103","108,640","85","1,744,919","15.85","16.15","15.85","16.10","+","0.25","16.05","2","16.10","2","22.36",
"1104","311,059","133","6,243,778","20.00","20.15","20.00","20.10","+","0.10","20.05","8","20.10","18","9.22",
"1108","147,122","78","1,505,212","10.30","10.30","10.15","10.25"," ","0.00","10.20","8","10.25","20","13.85",
"1109","29,238","28","442,213","14.90","15.25","14.90","15.15","+","0.05","15.15","3","15.20","3","10.67",
"1110","46,184","29","822,356","17.70","17.90","17.70","17.85","+","0.10","17.80","2","17.85","34","148.75",
"1201","190,799","138","3,498,823","18.40","18.40","18.25","18.30","+","0.05","18.25","11","18.30","1","18.12",
"1203","6,070","19","198,773","32.80","32.80","32.70","32.70","+","0.15","32.60","1","32.65","2","20.83",
"1210","835,736","844","33,923,936","40.40","40.80","40.20","40.60","+","0.40","40.55","10","40.60","3","19.61",
"1213","6,000","2","41,640","6.84","7.04","6.84","7.04","-","0.03","7.03","2","7.19","1","0.00",
"1215","155,373","259","11,876,139","76.00","76.80","75.50","76.40","+","0.70","76.30","4","76.50","14","14.69",
"1216","5,289,341","2,103","348,714,833","65.50","66.20","65.30","66.10","+","0.60","66.00","13","66.10","147","20.66",
"1217","405,442","247","3,772,303","9.30","9.34","9.27","9.30","+","0.04","9.29","4","9.30","7","84.55",
"1218","1,214,782","1,103","47,326,288","39.30","39.60","38.40","38.65","-","0.30","38.60","3","38.65","1","33.32",
"1219","1,205,568","498","23,951,851","19.55","20.00","19.55","19.85","+","0.30","19.85","45","19.90","67","16.97",
"1220","248,737","145","3,592,291","14.25","14.60","14.25","14.45","+","0.35","14.45","2","14.50","20","23.69",
"1225","67,376","52","3,736,204","54.20","56.00","54.20","55.80","+","1.50","55.20","1","55.80","1","24.26",
"1227","386,799","284","15,072,496","38.65","39.15","38.60","39.05","+","0.40","39.05","15","39.10","4","22.70",
"1229","700,138","799","33,014,907","46.90","47.50","46.60","47.10","+","0.55","47.10","6","47.15","1","16.76",
"1231","166,082","285","10,937,518","65.80","66.30","65.20","65.80","+","0.60","65.70","2","65.90","1","15.70",
"1232","83,370","466","11,978,814","144.50","144.50","143.00","144.00","-","1.00","144.00","3","144.50","2","17.35",
"1233","6,110","7","197,066","32.10","32.50","32.10","32.30","+","0.20","32.35","1","32.45","1","46.81",
"1234","33,219","39","1,091,633","32.90","32.95","32.75","32.80","+","0.20","32.80","2","32.90","10","16.32",
"1235","25,496","45","1,701,671","66.00","68.00","65.80","67.00","+","0.40","66.70","3","67.10","2","41.61",
"1236","180,772","91","3,402,136","18.30","19.20","18.30","19.00","+","0.70","19.00","1","19.10","16","5.56",
"1256","11,673","151","2,344,807","202.00","202.00","200.00","200.00","-","2.00","200.00","2","201.00","2","17.47",
"1301","4,375,388","2,308","364,238,177","83.10","83.80","82.40","83.30","+","0.20","83.20","130","83.30","3","7.17",
"1303","4,379,978","2,486","300,934,337","68.30","69.00","67.80","68.70","+","0.40","68.70","71","68.80","201","7.78",
"1304","642,569","394","13,187,019","20.20","20.65","20.20","20.50","+","0.25","20.50","27","20.55","22","6.23",
"1305","1,194,726","594","24,080,512","19.90","20.30","19.85","20.10","+","0.35","20.10","14","20.15","3","8.01",
"1307","87,110","87","1,741,144","19.95","20.15","19.90","20.00"," ","0.00","19.95","2","20.00","1","62.50",
"1308","425,075","341","10,587,778","24.75","25.15","24.55","24.90","+","0.05","24.90","28","25.00","6","6.38",
"1309","203,659","191","4,075,057","20.15","20.15","19.80","20.05","+","0.15","20.00","5","20.10","12","6.13",
"1310","167,527","145","2,083,527","12.35","12.50","12.35","12.50","+","0.15","12.45","2","12.50","53","0.00",
"1312","1,408,062","713","24,837,597","17.40","17.75","17.35","17.70","+","0.30","17.65","4","17.70","14","6.04",
"1312A","1,000","1","27,850","27.85","27.85","27.85","27.85","+","0.25","27.20","4","27.85","14","0.00",
"1313","726,045","270","8,919,365","12.25","12.35","12.15","12.30","+","0.10","12.30","13","12.35","83","0.00",
"1314","5,896,632","2,132","56,012,130","9.39","9.55","9.36","9.52","+","0.13","9.51","73","9.52","181","59.50",
"1315","1,130","12","73,189","64.80","64.80","64.80","64.80","+","0.20","64.80","2","65.00","5","14.30",
"1316","1,670,673","993","20,030,523","12.30","12.30","11.75","11.75","-","0.60","11.75","20","11.80","10","130.56",
"1319","3,238,852","1,922","148,964,169","45.25","46.45","44.90","46.20","+","0.95","46.20","9","46.25","37","19.49",
"1321","85,000","43","2,810,800","32.90","33.35","32.90","33.35","+","0.40","33.25","2","33.40","1","62.92",
"1323","48,170","27","1,594,773","33.10","33.15","32.85","33.15","+","0.05","32.95","2","33.15","12","13.93",
"1324","9,502","26","97,863","10.35","10.35","10.25","10.30","+","0.05","10.25","5","10.35","4","0.00",
"1325","611,091","358","13,941,118","22.00","23.25","22.00","22.60","+","0.60","22.60","8","23.00","1","0.00",
"1326","2,840,458","2,153","196,445,179","68.40","69.60","68.10","69.60","+","0.10","69.50","4","69.60","169","16.00",
"1337","1,314,952","413","9,556,995","7.18","7.37","7.12","7.29","+","0.10","7.29","1","7.30","26","0.00",
"1338","103,376","152","4,766,556","45.30","46.45","45.30","46.10","+","0.30","46.00","1","46.30","4","12.46",
"1339","125,455","76","4,566,907","36.05","36.65","36.05","36.50","+","0.35","36.50","2","36.55","12","8.04",
"1340","52,312","97","514,875","9.76","9.88","9.76","9.86","-","0.02","9.86","1","9.88","8","0.00",
"1341","11,001","11","735,465","66.90","66.90","66.50","66.50","-","0.40","66.00","1","66.90","1","12.76",
"1342","1,630,767","1,621","141,717,112","84.80","88.50","84.50","86.80","+","1.40","86.70","22","86.80","5","15.20",
"1402","5,527,902","2,126","178,828,356","32.20","32.45","32.05","32.45","+","0.30","32.40","2","32.45","221","18.65",
"1409","1,136,708","590","18,406,285","16.05","16.30","16.00","16.20","+","0.05","16.20","1","16.25","26","6.89",
"1410","227,334","186","9,078,154","39.45","40.45","39.45","40.35","+","0.90","40.35","2","40.50","2","39.56",
"1413","22,357","16","225,287","10.00","10.15","10.00","10.15","+","0.05","10.10","2","10.15","4","7.20",
"1414","110,505","76","1,894,535","17.15","17.35","17.00","17.30","+","0.20","17.30","2","17.35","28","23.38",
"1416","81,246","76","816,572","10.10","10.10","10.00","10.05","+","0.05","10.00","126","10.05","6","55.83",
"1417","76,293","58","819,123","10.65","10.80","10.65","10.70"," ","0.00","10.65","30","10.75","10","0.00",
"1418","34,001","12","476,264","14.00","14.10","13.95","14.00"," ","0.00","13.95","2","14.10","3","0.00",
"1419","24,804","27","952,529","38.45","38.50","38.25","38.30","+","0.10","38.25","8","38.40","1","5.55",
"1423","1,646,597","669","34,153,476","19.50","20.90","19.35","20.90","+","1.90","20.85","21","20.90","419","139.33",
"1432","529,735","221","6,170,433","11.50","12.20","11.50","11.55","+","0.05","11.50","18","11.55","61","0.00",
"1434","789,963","505","20,440,872","25.65","26.00","25.65","25.85","+","0.20","25.85","11","25.95","2","12.02",
"1436","37,731","41","2,027,830","53.80","54.10","53.40","54.10","+","0.60","54.00","1","54.10","1","48.30",
"1437","73,472","30","1,786,895","24.15","24.40","24.15","24.35","+","0.20","24.35","2","24.40","7","12.36",
"1438","16,021","10","469,615","29.35","29.40","29.10","29.25","+","0.35","29.20","2","29.25","1","4.76",
"1439","189,140","131","4,038,158","21.60","21.75","21.15","21.30","-","0.05","21.30","4","21.45","8","12.91",
"1440","679,645","365","11,169,488","16.25","16.50","16.25","16.45","+","0.25","16.45","9","16.50","169","13.82",
"1441","58,492","1,423","461,206","7.87","7.98","7.84","7.98","+","0.10","7.90","2","7.97","4","0.00",
"1442","635,837","411","18,261,913","28.90","29.05","28.50","28.70","-","0.20","28.70","42","28.80","3","25.18",
"1443","74,254","52","1,483,166","19.70","20.20","19.70","20.00","+","0.20","20.00","11","20.10","2","8.93",
"1444","1,623,450","542","16,911,731","10.35","10.50","10.35","10.50","+","0.10","10.45","26","10.50","266","8.97",
"1445","31,002","21","500,732","16.20","16.25","16.05","16.15","-","0.05","16.15","1","16.20","5","0.00",
"1446","62,013","39","1,809,730","28.85","29.40","28.85","29.40","+","0.50","29.40","1","29.45","4","0.00",
"1447","558,673","268","4,366,911","7.75","7.85","7.75","7.84","+","0.09","7.83","15","7.84","4","21.19",
"1449","412,900","229","5,457,982","13.15","13.30","13.10","13.15"," ","0.00","13.15","6","13.20","24","15.65",
"1451","480,868","277","10,295,666","21.05","21.75","21.00","21.65","+","0.50","21.65","1","21.70","4","8.59",
"1452","82,169","56","1,402,281","17.00","17.10","17.00","17.10","+","0.10","17.05","2","17.10","5","11.48",
"1453","574,207","394","8,055,224","13.60","14.30","13.50","14.15","+","0.55","14.15","11","14.20","37","15.90",
"1454","18,617","32","234,886","12.80","12.80","12.60","12.60","-","0.10","12.60","5","12.70","1","63.00",
"1455","524,068","274","5,107,832","9.61","9.80","9.61","9.76","+","0.15","9.76","5","9.77","5","122.00",
"1456","78,030","45","1,240,980","15.80","16.25","15.80","15.90","-","0.20","15.80","3","15.90","5","31.18",
"1457","106,899","69","1,946,507","18.30","18.30","18.15","18.25","+","0.05","18.20","3","18.25","6","4.12",
"1459","36,331","35","297,557","8.12","8.25","8.12","8.16","+","0.01","8.16","2","8.18","1","27.20",
"1460","144,499","72","1,107,197","7.69","7.70","7.61","7.65","+","0.02","7.65","7","7.67","2","0.00",
"1463","9,179","15","126,873","13.80","13.90","13.80","13.90","+","0.10","13.85","2","13.90","4","173.75",
"1464","104,784","89","1,463,953","13.70","14.05","13.70","14.00","+","0.10","14.00","3","14.05","12","18.18",
"1465","7,013","23","92,917","13.25","13.25","13.25","13.25","+","0.10","13.20","6","13.25","1","0.00",
"1466","37,003","20","410,783","10.90","11.20","10.90","11.15","+","0.10","11.05","9","11.15","3","9.61",
"1467","1,539,824","197","17,584,624","11.40","11.50","11.35","11.45","+","0.05","11.40","35","11.45","2","45.80",
"1468","36,000","34","451,600","12.40","12.85","12.40","12.65","+","0.20","12.35","4","12.65","1","46.85",
"1470","8,000","8","151,550","19.45","19.45","18.65","19.05","-","0.60","18.60","1","19.50","1","32.84",
"1471","363,505","203","2,621,837","7.14","7.26","7.10","7.24","+","0.12","7.24","2","7.25","14","0.00",
"1472","2,628","8","47,046","17.30","17.30","17.30","17.30","-","0.90","17.50","1","18.15","1","0.00",
"1473","39,963","48","738,546","18.50","18.50","18.35","18.45","+","0.20","18.45","1","18.60","9","23.35",
"1474","55,001","25","605,660","11.05","11.05","10.95","11.00","+","0.10","10.95","2","11.00","9","13.10",
"1475","60,000","52","3,105,600","50.90","52.00","50.90","51.80","+","0.90","51.80","1","51.90","8","14.63",
"1476","622,004","709","269,803,950","425.00","437.50","425.00","435.50","+","11.00","432.50","1","435.50","9","19.61",
"1477","577,687","803","117,170,650","200.00","204.50","199.50","203.50","+","3.50","203.00","11","203.50","23","15.97",
"1503","215,928","193","11,973,976","55.30","55.90","54.80","55.70","+","1.00","55.60","4","55.80","5","15.60",
"1504","2,793,148","1,453","79,921,488","28.50","28.80","28.35","28.65","+","0.15","28.60","10","28.65","1","15.74",
"1506","162,002","84","2,502,230","15.30","15.75","15.30","15.75","+","0.25","15.45","9","15.75","1","46.32",
"1512","27,016","20","99,409","3.68","3.68","3.68","3.68"," ","0.00","3.68","17","3.77","20","0.00",
"1513","12,683,644","7,390","656,313,900","49.55","52.90","49.45","52.40","+","3.00","52.40","35","52.50","228","11.32",
"1514","1,390,994","817","35,479,276","25.00","25.75","25.00","25.55","+","0.55","25.50","62","25.55","42","12.65",
"1515","527,655","409","14,927,902","28.25","28.50","27.90","28.45","+","0.20","28.40","4","28.45","16","14.59",
"1516","49,631","48","1,053,128","21.05","21.40","21.05","21.15","+","0.05","21.10","8","21.20","3","11.25",
"1517","1,626,508","621","35,863,149","21.70","22.25","21.50","22.25","+","0.65","22.20","6","22.25","7","9.47",
"1519","859,086","602","32,255,805","36.60","38.15","36.50","37.90","+","1.10","37.85","12","37.90","14","22.43",
"1521","6,310","40","215,801","34.20","34.20","34.20","34.20"," ","0.00","34.00","2","34.20","1","38.00",
"1522","1,471,776","851","37,579,921","25.30","25.70","25.05","25.65","+","0.50","25.60","29","25.65","13","14.02",
"1522A","0","0","0","--","--","--","--"," ","0.00","42.00","4","43.90","2","0.00",
"1524","4,173,009","2,167","90,872,000","21.30","22.00","21.20","21.95","+","0.65","21.95","12","22.00","284","16.63",
"1525","12,000","8","644,300","54.00","54.00","53.20","53.20","+","0.40","53.20","2","53.60","3","14.04",
"1526","279,093","195","12,418,182","44.05","44.85","43.65","44.85","+","0.60","44.85","1","44.90","2","7.85",
"1527","85,839","78","3,335,663","38.60","38.95","38.60","38.90","+","0.30","38.85","2","38.90","1","8.57",
"1528","171,465","142","1,542,397","8.98","9.04","8.91","9.01","+","0.07","9.01","4","9.02","1","6.09",
"1529","663,039","340","10,988,596","16.20","16.80","16.20","16.65","+","0.25","16.60","2","16.65","4","27.30",
"1530","3,366","10","104,218","30.90","31.00","30.90","31.00"," ","0.00","30.95","2","31.00","10","13.72",
"1531","36,071","71","472,722","13.10","13.20","13.05","13.10","+","0.10","13.05","5","13.10","15","10.65",
"1532","119,155","85","3,213,390","26.80","27.10","26.70","26.90","+","0.10","26.90","7","27.00","8","7.14",
"1533","305,836","256","14,662,815","47.30","48.40","47.15","48.20","+","0.90","48.15","8","48.20","1","47.72",
"1535","31,078","31","1,259,643","40.40","40.60","40.40","40.60","+","0.05","40.55","1","40.60","1","9.88",
"1536","2,433,558","1,628","183,663,680","74.40","76.60","74.00","76.50","+","1.70","76.40","39","76.50","19","52.04",
"1537","92,462","127","12,441,151","136.00","136.00","134.00","134.00","-","1.50","134.00","23","135.00","2","15.38",
"1538","1","1","6","--","--","--","--"," ","0.00","5.94","1","7.05","1","0.00",
"1539","2,678,509","1,702","76,634,548","27.70","29.25","27.35","29.00","+","1.25","29.00","5","29.05","54","5.16",
"1540","53,000","40","800,157","15.15","15.20","15.05","15.10","+","0.10","15.05","6","15.10","4","25.17",
"1541","3,350","9","105,058","31.45","31.45","31.25","31.25","+","0.50","31.05","2","31.25","2","5.07",
"1558","61,264","59","6,602,077","107.50","108.00","107.50","108.00","+","0.50","107.50","4","108.00","2","18.72",
"1560","4,150,265","2,622","425,779,574","100.00","104.00","99.50","103.50","+","1.50","103.00","25","103.50","8","11.62",
"1568","483,923","293","11,152,390","22.65","23.35","22.50","23.20","+","0.50","23.20","7","23.25","15","18.56",
"1582","92,175","74","5,478,544","59.20","59.80","59.00","59.70","+","0.70","59.70","2","59.80","4","26.07",
"1583","9,140","13","556,105","60.30","62.00","60.20","61.20","-","0.40","60.20","1","61.50","3","17.10",
"1587","83,354","63","1,756,515","20.35","21.40","20.35","21.20","+","0.60","21.20","1","21.35","3","12.11",
"1589","205,735","212","10,309,408","48.95","50.60","48.95","50.50","+","0.85","50.40","3","50.50","8","0.00",
"1590","571,914","620","432,200,071","754.00","770.00","739.00","770.00","+","30.00","761.00","4","770.00","2","23.74",
"1597","142,001","122","10,386,987","72.70","73.60","72.30","73.60","+","0.60","73.50","1","73.60","10","18.45",
"1598","72,300","66","2,617,002","36.20","36.45","35.75","36.10","+","0.45","36.05","2","36.25","8","225.62",
"1603","305,000","106","7,756,600","25.15","25.70","25.10","25.55","+","0.45","25.55","2","25.60","4","15.77",
"1604","144,224","125","3,430,852","23.60","23.90","23.60","23.90","+","0.40","23.85","4","23.90","5","5.26",
"1605","44,985,919","18,728","1,649,644,137","36.05","37.25","35.40","37.05","+","1.30","37.00","286","37.05","44","6.89",
"1608","1,689,246","887","22,421,076","12.85","13.50","12.85","13.45","+","0.60","13.45","30","13.50","119","30.57",
"1609","2,504,535","1,139","41,991,580","16.40","17.00","16.35","16.95","+","0.40","16.90","22","16.95","70","14.01",
"1611","1,062,083","502","14,959,917","13.85","14.25","13.85","14.00","+","0.15","14.00","23","14.10","5","14.14",
"1612","906,818","483","13,464,452","14.55","15.00","14.50","14.95","+","0.40","14.95","7","15.00","63","1.90",
"1614","37,450","48","1,330,067","35.40","35.65","35.30","35.55","+","0.25","35.50","3","35.55","1","26.93",
"1615","16,776","32","467,512","27.95","27.95","27.70","27.85","-","0.10","27.75","1","27.90","1","9.67",
"1616","221,403","67","1,602,971","7.20","7.40","7.19","7.37","+","0.19","7.33","1","7.37","3","25.41",
"1617","10,000","10","148,850","14.95","14.95","14.75","14.90","+","0.05","14.90","1","14.95","2","16.93",
"1618","1,202,892","605","17,659,314","14.20","14.95","14.20","14.90","+","0.70","14.90","18","14.95","26","12.52",
"1626","46,202","53","758,682","16.25","16.55","16.25","16.40","+","0.05","16.35","9","16.50","7","5.77",
"1701","528,689","272","10,697,663","20.30","20.35","20.15","20.25","+","0.05","20.25","9","20.30","9","11.38",
"1702","72,901","72","3,162,472","43.40","43.55","43.15","43.15","-","0.15","43.15","5","43.30","6","12.15",
"1707","148,600","171","18,090,610","121.00","123.00","121.00","122.50","+","1.00","122.00","12","122.50","7","13.32",
"1708","4,625,585","2,440","189,146,285","40.50","41.30","40.25","41.15","+","0.95","41.15","55","41.20","82","8.40",
"1709","821,215","368","16,949,915","20.45","20.80","20.40","20.75","+","0.40","20.70","14","20.75","1","9.02",
"1710","350,491","190","5,984,110","17.05","17.15","16.90","17.15","+","0.25","17.10","11","17.15","21","428.75",
"1711","513,008","314","8,982,074","17.35","17.60","17.35","17.55","+","0.20","17.50","43","17.55","2","22.79",
"1712","898,294","676","31,982,081","35.75","35.80","35.35","35.70","+","0.20","35.65","18","35.70","6","11.19",
"1713","125,195","95","3,009,514","23.90","24.90","23.85","23.90","-","0.05","23.90","1","24.00","9","20.78",
"1714","1,168,334","374","9,456,096","8.04","8.13","8.03","8.11","+","0.08","8.11","19","8.12","62","17.63",
"1717","617,421","569","18,557,945","29.90","30.25","29.70","30.10","+","0.20","30.10","2","30.15","28","10.87",
"1718","1,304,561","519","10,184,681","7.73","7.86","7.71","7.81","+","0.08","7.80","16","7.81","7","0.00",
"1720","314,735","321","14,166,707","44.70","45.40","44.50","45.40","+","0.80","45.35","4","45.40","5","11.05",
"1721","1,030,389","587","13,852,759","13.20","13.60","13.15","13.60","+","0.40","13.60","10","13.65","29","75.56",
"1722","993,754","596","52,565,353","52.70","53.10","52.30","53.10","+","0.80","53.00","21","53.20","85","16.91",
"1723","202,387","230","20,988,705","103.00","104.50","103.00","103.00"," ","0.00","103.00","36","103.50","4","14.99",
"1725","16,015","16","307,085","19.00","19.25","19.00","19.15","+","0.15","19.10","1","19.15","1","12.68",
"1726","20,015","14","1,396,792","70.00","70.00","69.70","69.70"," ","0.00","69.80","2","70.00","5","13.83",
"1727","337,270","222","7,988,883","23.20","23.85","23.20","23.75","+","0.55","23.70","6","23.75","2","14.66",
